view,test,pipeline,cluster,n,fraction,qualitative_morphology,initial_native,final_native,maximum_native,minimum_native,initial_relative,final_relative,maximum_relative,minimum_relative,overall_pce_change_relative,early_time_slope_relative_per_hour,late_time_slope_relative_per_hour,time_of_maximum_hours,time_of_minimum_hours,major_turning_points,peak_to_final_decline_relative,valley_depth_relative,recovery_amplitude_relative,range_relative,peak_width_fraction
natural_selected_k,test1_raw,Raw → SOM,0,623,0.2775055679287305,slow decay,14.549011893471178,11.293834203260948,14.549011893471178,11.293834203260948,0.9966002424244852,0.7758851226903354,0.9966002424244852,0.7758851226903354,-0.2207151197341498,-0.001765449190206352,-0.001333222118146532,0.0,149.83333333333334,0,0.2207151197341498,0.0,0.0,0.2207151197341498,0.0
natural_selected_k,test1_raw,Raw → SOM,1,745,0.33184855233853006,slow decay,18.459542822314365,16.831247618736107,18.724283467767712,16.8274340831323,0.9922550470752045,0.8980034284398609,0.9989183890437167,0.8980034284398609,-0.09425161863534359,-0.00034873626566241247,-0.0005964493417313063,11.833333333333334,149.83333333333334,1,0.10091496060385574,0.0,0.0,0.10091496060385574,0.08888888888888889
natural_selected_k,test1_raw,Raw → SOM,2,442,0.19688195991091315,medium decay,7.635913048086395,3.5133436859369263,7.635913048086395,3.5133436859369263,0.9649483809187657,0.46017719989247263,0.9649483809187657,0.46017719989247263,-0.504771181026293,-0.007884992781844593,-0.0008087897745495478,0.0,149.83333333333334,0,0.504771181026293,0.0,0.0,0.504771181026293,0.0
natural_selected_k,test1_raw,Raw → SOM,3,435,0.19376391982182628,medium decay,11.650920147616864,7.661566787070909,11.650920147616864,7.654488888810149,0.9951753831392075,0.6560755505989541,0.9951753831392075,0.6560755505989541,-0.33909983254025344,-0.0045437217744480705,-0.0011822977432368285,0.0,149.83333333333334,0,0.33909983254025344,0.0,0.0,0.33909983254025344,0.0
natural_selected_k,test2_resample_normalize,Resample + Normalize → SOM,0,1021,0.45478841870824055,initial increase followed by slow decay,0.8783086584722535,0.8961882605203578,0.9528669370890306,0.8783086584722535,0.9312489222963075,0.9402625970721977,0.9991996904828663,0.9312489222963075,0.009013674775890212,0.0017232646380424068,-0.0006097266300666358,30.0,0.0,1,0.05893709341066855,0.0,0.06795076818655876,0.06795076818655876,0.4677777777777778
natural_selected_k,test2_resample_normalize,Resample + Normalize → SOM,1,582,0.2592427616926503,slow decay,0.9435602009136986,0.6998765242096321,0.9438429152784443,0.6998765242096321,0.9987723567300371,0.7402649682701753,0.9987723567300371,0.7402649682701753,-0.25850738845986176,-0.002635425355657183,-0.0012695866348381287,0.0,149.83333333333334,0,0.25850738845986176,0.0,0.0,0.25850738845986176,0.0
natural_selected_k,test2_resample_normalize,Resample + Normalize → SOM,2,373,0.16614699331848554,medium decay,0.934602166024677,0.5399674711044833,0.9393884729629196,0.5399674711044833,0.9971147826842517,0.573698745651263,0.9971147826842517,0.573698745651263,-0.4234160370329887,-0.005960520681196995,-0.0013173838625520665,0.0,149.83333333333334,0,0.4234160370329887,0.0,0.0,0.4234160370329887,0.0
natural_selected_k,test2_resample_normalize,Resample + Normalize → SOM,3,213,0.09487750556792873,rapid decay,0.9637890317759558,0.2970480331159322,0.9637890317759558,0.29460303029121826,0.9570654401094741,0.30694081015428853,0.9570654401094741,0.30694081015428853,-0.6501246299551856,-0.009564952865313073,-0.0010120485716075605,0.0,149.83333333333334,0,0.6501246299551856,0.0,0.0,0.6501246299551856,0.0
natural_selected_k,test2_resample_normalize,Resample + Normalize → SOM,4,56,0.024944320712694878,rapid decay,0.9262110290237988,0.06035779501623733,0.9262110290237988,0.045976114587548925,0.8404089066701259,0.06503535467322316,0.8404089066701259,0.054285784166430595,-0.7753735519969027,-0.015616901218027243,0.00029847159898435904,0.0,120.33333333333333,0,0.7753735519969027,0.010749570506792566,0.012864320500432944,0.7861231225036953,0.0
natural_selected_k,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,0,1027,0.4574610244988864,initial increase followed by slow decay,0.8875496819082914,0.8951106570274817,0.9520534489150859,0.8875496819082914,0.9329268607658573,0.9399653219181274,0.9999344140014065,0.9329268607658573,0.007038461152270137,0.0017216727738787905,-0.0006152812563281123,28.5,0.0,1,0.05996909208327905,0.0,0.06700755323554919,0.06700755323554919,0.4677777777777778
