curve_id,source_file,record,series_name,som_node
图片107_b2f4df4336,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,2
图片107_f3230ee0e8,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,2
图片115_01afabb0c0,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,图片115,samples_test__unknown__unknown__图片115__Series_1__Series_1,2
图片115_8cc5d1e2b8,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,samples_test__unknown__unknown__图片115__Series_2__Series_2,2
图片116_65eb56ddd1,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,samples_test__unknown__unknown__图片116__Series_1__Series_1,2
图片127_fae8afb771,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,2
图片162_d2a80a5e00,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,samples_test__unknown__unknown__图片162__Series_1__Series_1,2
图片163_c3cef6f5fd,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,samples_test__unknown__unknown__图片163__Control__Series_1,2
图片16_92ce9de464,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,samples_test__unknown__unknown__图片16__Series_1__Series_1,2
图片16_d266b445b6,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,samples_test__unknown__unknown__图片16__Series_2__Series_2,2
图片193_0c17e012f8,lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,samples_test__unknown__unknown__图片193__Series_1__Series_1,2
图片202_029296e6ba,lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,图片202,samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2,2
图片205_1de446d485,lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,samples_test__unknown__unknown__图片205__Series_1__Series_1,2
图片205_b3846cfa76,lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,图片205,samples_test__unknown__unknown__图片205__Series_2__Series_2,2
图片28_256b0ae51b,lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,图片28,samples_test__unknown__unknown__图片28__Series_1__Series_1,2
图片59_b33cd1e57a,lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,图片59,samples_test__unknown__unknown__图片59__Target__Series_2,2
图片59_ff131ffd27,lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,图片59,samples_test__unknown__unknown__图片59__Control__Series_1,2
图片62_ec636b173b,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_1__Series_1.csv,图片62,samples_test__unknown__unknown__图片62__Series_1__Series_1,2
图片71_c5c3484144,lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,图片71,samples_test__unknown__unknown__图片71__Target__Series_1,2
图片78_bffccff2c4,lab-v2/som_references/accepted/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_1__Series_1.csv,图片78,samples_test__unknown__unknown__图片78__Series_1__Series_1,2
图片78_c1a766169b,lab-v2/som_references/accepted/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_2__Series_2.csv,图片78,samples_test__unknown__unknown__图片78__Series_2__Series_2,2
