doi,title,publication_year,journal,landing_page_url,pdf_source_url,local_pdf,download_status,download_error,title_abstract_nonmonotonic_flag,title_abstract_nonmonotonic_hits,parse_status,parse_error,pdf_pages,extracted_characters,graph_evidence_pages,shape_evidence_pages,graph_evidence_excerpt,shape_evidence_excerpt,machine_curve_figure_evidence,machine_nonmonotonic_shape_evidence
10.1007/s40820-024-01631-x,Top-Down Dual-Interface Carrier Management for Highly Efficient and Stable Perovskite/Silicon Tandem Solar Cells,2025,Nano-Micro Letters,https://doi.org/10.1007/s40820-024-01631-x,https://link.springer.com/content/pdf/10.1007/s40820-024-01631-x.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1007_s40820-024-01631-x.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,20,89557,1;14;15;16,10;15;16,"aximum power point track- ing without encapsulation. When integrated with double-textured silicon heterojunction solar cells, a remarkable PCE of 31.5% is achieved for a 1.04 ­cm2 monolithic perovskite/silicon tandem solar cell, exhibiting excellent long-term operational stability (T80 = 755 h) without encapsulation in ambient air. This work provides a convenient strategy on dual-interface engineering for making high-efficiency and stable perovskite platforms. KEYWORDS Perovskite/silicon tandem solar cells; Carrier management; Dual-interface; Post- || ing improved humidity stabil- ity. When subjected to thermal aging at 85 °C with a low humidity of 10%–15% RH for 500 h, the PCl perovskite film presents the lowest peak area ratio of ­PbI2 to perovs- kite in comparison with the control, PBr and PI perovskite Fig. 4 a J–V curves of the champion control, PCl, PBr and PI single-junction PSCs under simulated AM1.5G solar illumination (100 mW ­cm−2). b Plots of (VOC × FF)/(VOC,SQ × ­FFSQ) against PCE for 1.68 eV PSCs in this work and reported literature from Table S5. c J–V curve of the champion PCl PSC with an aperture area of 1.21 ­cm2. d EL spectra of the control PSC under different applied voltage biases. e EL spectra of the PCl PSC under di || ­PbI2 defects [65, 66]. The PCl treatment effectively eliminates ­PbI2 defects within the perovskite films, leading to reduced ­I2 formation. Additionally, PCl treatment results in a noticeable reduction in residual tensile stress within the perovskite film (Figs. 2g and S26), further enhancing the formation energy of ­Ii defects [67]. As a result, the PCl films demonstrate higher resistance to illumination-induced degradation. The impact of PCl on device stability was also evaluated. The performance of unencapsulated solar cells was tracked under open-circuit conditions in ambient air with a RH of 40%–60% and a temperature of 30 ± 5 °C, resembling the aging conditions of the International S","tion of the perovskite top surface and decreased interfacial recombination velocity by PCl [52]. PL transients excited from the ITO sides are shown in Fig. 3c, and the corresponding decay times are obtained from biexponential decay fits (Table S5). Clearly, a fast decay component (τ1), originated from charge extraction at the interface, and a slow decay component (τ2), attrib- uted to the nonradiative recombination, are distinguished [49]. The control stack exhibits the longest τ1 and lowest τ2, meaning the poor charge extraction and significant nonra- diative recombination at the MeO-2PACz/perovskite buried || Nano-Micro Lett. (2025) 17:141 Page 15 of 20 141 films (Fig. S47), indicating superior thermal stability. Fur- thermore, light stability was investigated by immersing the four perovskite films into toluene to extract the ­I2 generated during light soaking. After 24 h of continuous light soak- ing at 1-sun light intensity, the PCl film shows the lowest intensity of UV–Vis absorption spectra of ­I2 (~ 500 nm) and ­I3 − (~ 365 nm) [64] (Fig. 4i). As revealed in previous reports, the release of ­I2 and ­I3 − from || al stability. Notably, this is one of the best stabilities achieved in an unencapsulated tandem device at MPP tracking under similar test situation (Table S11). Nevertheless, the stability of PVSK/Si TSCs still lags behind perovskite SJ devices under extended light soaking, a likely possibility being the current Fig. 5 a Schematic illustration of the perovskite/silicon heterojunction tandem solar cell (PVSK/Si TSC) architecture. b Cross-section SEM image of the PVSK/Si TSC in a broader area. c J–V curves of the champion control",True,True
10.1002/solr.202500162,The Roles of Ion Migration on Perovskite Solar Cell Operational Stability at Various Illumination Intensities,2025,Solar RRL,https://doi.org/10.1002/solr.202500162,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/solr.202500162,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/adma.202313860,Suppressing Ion Migration by Synergistic Engineering of Anion and Cation toward High‐Performance Inverted Perovskite Solar Cells and Modules,2024,Advanced Materials,https://doi.org/10.1002/adma.202313860,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202313860,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/anie.202412601,Enhancing Hole Transport Uniformity for Efficient Inverted Perovskite Solar Cells through Optimizing Buried Interface Contacts and Suppressing Interface Recombination,2024,Angewandte Chemie International Edition,https://doi.org/10.1002/anie.202412601,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202412601,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/idm2.12147,"In situ polymerization of water‐induced 1,3‐phenylene diisocyanate for enhanced efficiency and stability of inverted perovskite solar cells",2024,Interdisciplinary materials,https://doi.org/10.1002/idm2.12147,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12147,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1126/science.add7331,Highly efficient p-i-n perovskite solar cells that endure temperature variations,2023,Science,https://doi.org/10.1126/science.add7331,https://cronfa.swan.ac.uk/Record/cronfa62477/Download/62477__26444__eb1b921aa7ef44fd8aefd71b14400751.pdf,,download_failed,"curl: (28) SSL connection timeout
curl: (28) SSL connection timeout
curl: (28) SSL connection timeout",False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/aenm.202204115,Enhancing Photostability of Sn‐Pb Perovskite Solar Cells by an Alkylammonium Pseudo‐Halogen Additive,2023,Advanced Energy Materials,https://doi.org/10.1002/aenm.202204115,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202204115,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,2023,Nature Communications,https://doi.org/10.1038/s41467-023-40585-3,https://www.nature.com/articles/s41467-023-40585-3.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-023-40585-3.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,7,37262,2;3;4;5,1;2;4;5,"d description. In addition, since PSCs show large variations in degradation curve shapes, there is still no universal metric for PSC stability. Our dataset shows various degradation curve shapes that can be categorised into different groups (see Supplementary Fig. 1). In this study, we perform an unsupervised machine learning method called self-organising map (SOM) to obtain degradation curve shape clusters from the MPP- tracking dataset, where we are able to identify the dominant shape of ageing curves. We observe a correlation between the occurrence of particular shape clusters and the maximum reached PCE. We believe that categorising ageing test data and identifying the main shapes will b || es unstable as a secondary cause. Maximum PCE group (%) < 10.4 10.4-14.2 14.2-16.8 > 19.2 Degradation time (hours) ) % ( E C P Maximum PCE PCE @ 150 hours a 16.8-19.2 150 0 50 100 11 10 14 14 16 18 20 Maximum PCE ΔPCE, rel (%) 100 50 0 b PCE @ 150 hours 12 13 Fig. 1 | Statistical analysis of a large MPPT-ageing dataset. a Schematic on how the relative change between maximum PCE and PCE at 150 h (ΔPCE, rel) is calcu- lated. b The ΔPCE, rel for the ﬁve groups of maximum PCE. The solid line in the box represents the median, the dashed line in the box represents the mean, the error bar represents the corresponding interquartile range (between the 25th a || ssed in Supplementary Information: SOM Quantisation Error. In this case, the SOM parameters used explicitly are sigma = 0.5 and learning rate = 0.1. While it is known that perovskite solar cells can show very diverse ageing behaviours3 (see also Supplementary Fig. 1 for a higher number of clusters), this is an impressive example of how diverse ageing tracks are in reality. The vast deviations between the cluster shapes clearly show that the commonly used device lifetime metric T80 (among others) cannot beconsidered universal for perovskite solarcells.A new ﬁgure of merit or a set of parameters that can work across different shapes of degradation curves is therefore urgently needed to compare","Zhang et al. recently performed a statistical analysis on the Perovskite Database Project by introducing a new ﬁgure of merit for stability called TS80m. They project the measured TS80 (the time taken to reach 80% of the stabilised efﬁciency at the end of the burn-in region)3 to TS80m, which is the predicted value under reference conditions (300 K, 20% relative humidity, and 1 sun illumination). The authors re-calculate TS80 with the help of acceleration factors which are determined based on various assumptions and which || of cells (449 cells/ group). Maximum PCE is chosen as a parameter of interest because many devices undergo an initial phase of grave losses in PCE at the beginning of the experiment, also known as the burn-in period3. In some cases however, devices undergo an initial gain in efﬁciency, so-called light soaking improvements3 and as a result, their initial PCE will not compare well to devices for which the MPP-track immediately decays and for which the initial PCE equals the maximum PCE. Consequently, the maximum reached PCE is s || ion of high-dimensional data, providing visualisation and abstraction of the data. SOM is utilised to identify the distinct types of degradation curves’ shapes based on the normalised PCE data. Four clusters of curve shapes are identiﬁed and shown in Fig. 4a: initial gain (cluster 1, total: 1324 points), slow exponential decay (cluster 2, total: 722 points), medium exponential decay (cluster 3, total: 237 points), and fast- exponential decay (cluster 4, total: 97 points). Four is the optimum number of clusters based on the elb",True,True
10.1038/s41467-023-37877-z,Long-chain anionic surfactants enabling stable perovskite/silicon tandems with greatly suppressed stress corrosion,2023,Nature Communications,https://doi.org/10.1038/s41467-023-37877-z,https://www.nature.com/articles/s41467-023-37877-z.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-023-37877-z.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,11,70732,1;2;6;7,7;9,"minate the residual stresses. As a result, beneﬁting from the reduced defects, suppressed ion migration and improved energy level alignment, the corresponding unencapsulated per- ovskite single-junction and perovskite/silicon tandem devices exhibit impressive operational stability with 85.7% and 93.6% of their performance after 3000 h and 450 h at maximum power point tracking under continuous light illumination, providing one of the best stabilities to date under similar test conditions, respectively. Perovskite/silicon tandem solar cell has emerged as a promising pho- tovoltaic technology || lly improving the perovskite crystallinity. More importantly, these LASs embrace the perovskite grains to form a glue- like scaffold that effectively eliminates stresses by reducing the Young’s Modulus and thermal expansion coefﬁcient, thus enhancing both the PCE and stability of the perovskite devices. Remarkably, the corre- sponding unencapsulated single-junction perovskite and dual-junction perovskite/silicon tandem devices, with the PCE of 21.6%, and 27.4%, retain 85.7% and 93.6% of their original PCE after 3000 h and 450 h (under maximum power point tracking in air), respectively, represent- ing one of the highest lifetimes reported to date under similar condi- tions (Supplementary Tabl || get 0.0 0.4 0.8 1.2 1.6 -300 -200 -100 0 ). u . a ( e c n e r e ffi d dl eif cirtc el E 0.5 V 1 V Control 0.0 0.2 0.4 0.6 0.8 1.0 1.2 -25 -20 -15 -10 -5 0 5 Target 21.6 21.4 20.0 19.5 82.7 82.1 80.6 79.4 23.1 23.1 23.0 22.9 1.13 1.13 1.08 (%) (mA/cm2) (%) (V) PCE JSC FF m c/ A m ( ytis n e d t n e rr u C 2) Voltage (V) VOC 1.07 Control ITO NiOx Perovskite C60/BCP Ag a b c e d f g h Fig. 4 | Device performance and stability. a Cross-sectional SEM image of the single-junction PSC. b J–V curves of the best-performing control (navy) and target (red) devices, in forward scan (solid lines) and reverse scan (dotted lines). The inset table shows the c","target devices retain 92.8% of the initial values, with the best device retaining 97.1% of initial PCE for 1100 h, greatly surpassing the control ones. We also presented the J–V and the measured SPO curves at different aging times in Supplementary Fig. 45, clearly showing the evolution of device performance (including the increased hysteresis in the J–V curves) during ISOS-L2 aging. Besides, we observed a noticeably slow increase of hysteresis in the target device according to the recorded J–V curves. Moreover, the SPO values also degrade more quickly than the J–V-determined efﬁciency, || and then back again (from –0.1 V to 1.9 V) for tandem devices without light soaking or electric-poling preconditioning. The active area was determined with a 0.124 cm2 metal aperture placed in front of the solar cell. EQE was measured by an Enli Technology (Taiwan) and recorded with an Enli Technology EQE measurement system (QE–R), and the l",True,True
10.1002/adma.202306415,Uracil Induced Simultaneously Strengthening Grain Boundaries and Interfaces Enables High‐Performance Perovskite Solar Cells with Superior Operational Stability,2023,Advanced Materials,https://doi.org/10.1002/adma.202306415,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306415,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/adma.202304149,Lattice Strain Regulation Enables High‐Performance Formamidinium Perovskite Photovoltaics,2023,Advanced Materials,https://doi.org/10.1002/adma.202304149,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304149,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/adma.202304150,Stabilization of Inorganic Perovskite Solar Cells with a 2D Dion–Jacobson Passivating Layer,2023,Advanced Materials,https://doi.org/10.1002/adma.202304150,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304150,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/adma.202300169,Graphene‐Like Conjugated Molecule as Hole‐Selective Contact for Operationally Stable Inverted Perovskite Solar Cells and Modules,2023,Advanced Materials,https://doi.org/10.1002/adma.202300169,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300169,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/idm2.12079,Stress compensation based on interfacial nanostructures for stable perovskite solar cells,2023,Interdisciplinary materials,https://doi.org/10.1002/idm2.12079,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12079,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/anie.202315233,Synchronous Elimination of Excess Photoinstable PbI2 and Interfacial Band Mismatch for Efficient and Stable Perovskite Solar Cells,2023,Angewandte Chemie International Edition,https://doi.org/10.1002/anie.202315233,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202315233,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1126/science.adr1334,Spontaneous formation of robust two-dimensional perovskite phases,2025,Science,https://doi.org/10.1126/science.adr1334,https://escholarship.org/uc/item/7rm9f47h,,download_failed,curl: (22) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41566-025-01791-1,Stabilizing high-efficiency perovskite solar cells via strategic interfacial contact engineering,2025,Nature Photonics,https://doi.org/10.1038/s41566-025-01791-1,https://www.nature.com/articles/s41566-025-01791-1.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41566-025-01791-1.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,12,52876,3;5;6;9,,"istribution and tunes the perovskite surface work function (WF) to enhance the open-circuit voltage. During ESC deposition, SHF causes C60 to stack in densely packed layers, which suppresses ion diffusion within the device. The resulting PSCs exhibit a record PCE of 27.02% (certified PCE being 26.96% with a stabilized PCE of 26.61%). Addi- tionally, 1-cm2 devices show a PCE of up to 25.95%. In particular, the SHF-treated device retains its initial PCE (0% efficiency loss) after 1,200 h of maximum power point tracking (MPPT) under 1-sun illumina- tion (International Summit on Organic Photovoltaic Stability ISOS-L-1) and demonstrated over 92% retention when aged at ~85 °C (ISOS-D-2) over 1,800 || (Fig. 3e). In comparison, the SHF-treated PSCs show a champion PCE of 27.02%, along with an increased VOC of 1.197 eV and FF of 86.17% (Supplementary Fig. 35 and Supplementary Table 1), as well as reduced photocurrent–voltage (J–V) hysteresis39 (Supplementary Fig. 36 and Supplementary Table 2). The external quantum efficiency (EQE) spectra (Supplementary Fig. 37) show that the closed EQE onset are essentially the same in the devices. The integrated Jsc values match well with the values acquired from the J–V results (<1.3% discrepancy)40,41. Devices treated with NaOAc exhibited moderate performance improvements compared with the control but remained significantly inferior to SHF-treated devic || . 47b). Since ion migration leads to perovskite decomposition45,46, their differences could be related to device stability. Indeed, the diffusion of I− ions through ESC to Ag electrode, where it reacts to form AgI, further accelerates the degradation process (Fig. 4f). The SHF layer stabilizes the perovskite–ETL interface, blocking the passage of I− ions to prolong the operational stability of the device (Fig. 4g). Additionally, SHF inherently possesses high thermal stabil- ity, with an initial decomposition temperature reaching up to 260 °C (Supplementary Fig. 48). Comparison with ToF-SIMS data from the pre-aged sample demonstrates that SHF maintains its stability over time, confirming its ",,True,False
10.1038/s41467-025-59515-6,Less-acidic boric acid-functionalized self-assembled monolayer for mitigating NiOx corrosion for efficient all-perovskite tandem solar cells,2025,Nature Communications,https://doi.org/10.1038/s41467-025-59515-6,https://www.nature.com/articles/s41467-025-59515-6.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-025-59515-6.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,14,80743,2;4;9;10;11;12,,"I/Br distribution and mitigated phase segregation under continuous illumination aging. By further mixing BA-SAM with a small amount of the commonly utilized Me-4PACz (at a molar ratio of 4:1, BA-SAM: Me-4PACz), the WBG cell shows a substantial improvement in PCE from 18.9% (control device based on Me-4PACz) to 20.1%, with VOC of 1.30 V, JSC of 18.2 mA cm−2 and FF of 84.8%. Integrating with the NBG subcell, the 2T TSCs achieve an ameliorative PCE of 28.5%, along with notable operational stability by retaining 90% of the initial PCE after maximum power point tracking (MPP) under 1 sun illumination for 500 h. Results Adsorption mechanisms of SAMs on NiOx surface To dig into the adsorption mecha || ace coverage and some weakly anchored SAMs through OH···O=P hydrogen bonding. Such loosely bonded sites could be desorbed by strong polar solvents such as DMF14, resulting in random redeposition at the perovskite bottom layer. It expects to severely limit the operational stability of PSCs. S-BA- SAM, on the other side, shows homogeneous distribution without aggregation, which might be due to the strong interaction between the benzothiophene on S-BA and NiOx, as well as the less π-π interactions through benzothiophene, as illustrated by the MD calculations in Supplementary Fig. 16b. Correspondingly, the resistance of two acid-functionalized SAMs to DMF was thus tested. The NiOx/SAM samples ri || port thus lower charge accumulation at the HTL/per- ovskite interface. Electrochemical impedance spectroscopy (EIS) of the devices under external voltages of 0.0–0.9 V were further measured59. EIS spectra (0.9 V) of the control and target PSCs are compared in Fig. 5i, which shows higher recombination resistance of the target device (7158 Ω) over that of the control one (2463 Ω). Based on the EIS spectra under different external biases (Supplementary Fig. 56), the carrier recombination lifetimes of the perovskite ﬁlms are Fig. 5 | WBG photovoltaic performance and stability. (a) J-V characteristics of champion devices based on Me-4PACz and S-BA-BA-SAM. (b) SPO of champion devices based on Me-4",,True,False
10.1002/adma.202504520,Bifacially Reinforced Self‐Assembled Monolayer Interfaces for Minimized Recombination Loss and Enhanced Stability in Perovskite/Silicon Tandem Solar Cells,2025,Advanced Materials,https://doi.org/10.1002/adma.202504520,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202504520,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-025-58672-y,Regulating three-layer full carbon electrodes to enhance the cell performance of CsPbI3 perovskite solar cells,2025,Nature Communications,https://doi.org/10.1038/s41467-025-58672-y,https://www.nature.com/articles/s41467-025-58672-y.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-025-58672-y.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,10,50987,2;3;5;6;7,4;5;8,"r energy alignment of F-CE/spiro-OMeTAD/CsPbI3 inter- face and guarantee good interfacial contact with the HTL, a highly conductive graphite layer was responsible to efﬁcient carrier trans- porting. These two abilities of the F-CE contributed to >19% certiﬁed PCEs of inorganic CsPbI3, which is the highest reported efﬁciency of carbon-based CsPbI3 solar cells. Besides, noticeable thermal radiation ability of its dense carbon layer was also found, which can reduce the temperature of the operating cell (AM 1.5 G, 1 sun) by ~10 °C and overcome the PCE degradation, both from simulation and experi- mental results. For operational stability test, no PCE degradation was found in F-CE based CsPbI3 ce || 71 mA cm−2, the VOC of 1.169 V and the FF of 0.786 (Fig. 3c). Statistic PCE distribution for small size and 1 cm2 CsPbI3 cells are also presented (Supplementary Table 3-4). Typically, a certiﬁed PCE of 19.2% (reverse scanning) was also achieved (Supplementary Fig. 9), comparable to corresponding Au electrode-based cell with 20.39% PCE. In the past few years, PCEs of carbon-based inorganic perovskite cells (including CsPbI3, CsPbI2Br, CsPbIBr2 and CsPbBr3) indeed rises linearly (Fig. 3d, Supplementary Table 5). In previous work, the highest reported PCE was ~18% while the PCE gap between the Au and carbon- based devices has exceeded 2% in absolute value. In this work, the PCE gap has already  || riate packaging materials in the future. Stability testing of F-CE based CsPbI3 PSCs Firstly, ambient phase stability of the CsPbI3 ﬁlm in the unencapsulated cell was signiﬁcantly enhanced. As indicated by time-dependent X-ray diffraction (XRD) (Supplementary Fig. 24), β-phase CsPbI3 of Au based PSCs gradually transformed into δ-phase after being illuminated for several hours in ambient conditions. Comparatively, the CsPbI3 from the F-CE based PSC can well keep β-phase with constant XRD intensity in the illumination aging duration. Furthermore, we carried out dif- ferent aging processes to evaluate the operational stability of F-CE based CsPbI3 PSCs. After working at the maximum power point ","F-CE exhibits cooling effect on the operating cell, assuming the same fabrication process, and it may enhance the operational stability of the cell41–46. Furthermore, heat dissipation properties of F-CE based PSCs were investigated by theoretical simulations. First, based on ﬁnite- element model (FEM), we conducted brief simulation to gain quan- titative assessment about heat generation and dissipation properties of the PSCs under illumination47. As shown in Fig. 4a, thermal con- duction, convection and radiation are the three main heat dissipation pathways. To the PSC, heat generation properti || wever, the PCE of the Au-based cell dropped to 92% of its initial value (Fig. 5a). We further tracked 2000 h operational stability in N2 atmosphere while keeping the cell continuously worked under steady-state bias voltage (0.95 V) and white LED illumination (initial cell current density 20 mA cm-2). The PCE of the F-CE based cell slightly increased in the ﬁrst 400 h, then kept almost constant from 500 to 2000 h (Fig. 5c). To our knowledge, this is one of the best operational stability results among the CsPbI3 solar cells reported so far (Supplementary Table 7). Instead, the PCE of the Au based cell con || ) with 444.6 nm and measured at 730 nm after excitation. The External quantum efﬁciency (EQE) of non-encapsulated solar cells were measured in air on Enli Technology (Taiwan) EQE system, and a standard monocrystalline Si cell was used as the reference. No pre-light soaking and pre-bias were applied over the measurement time. The Adhesion between different electrodes and HTL tested by tape-tear method. The strength of the adhesion can be reﬂected by the peak reading of the tension meter (HANDPI, HP-100). Stability test All the s",True,True
10.1002/adma.202502916,High‐Efficiency Large‐Area Perovskite Solar Cells via a Multifunctional Crystallization Regulating Passivation Additive,2025,Advanced Materials,https://doi.org/10.1002/adma.202502916,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202502916,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/adma.202502729,Functional Group Engineering Stabilizing Precursor Solution and Passivating Defects for Operationally Stable and Highly Reproducible Inverted Perovskite Solar Cells,2025,Advanced Materials,https://doi.org/10.1002/adma.202502729,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202502729,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/aenm.202404538,Minimizing DMSO Residues in Perovskite Films for Efficient and Long‐Term Stable Solar Cells,2025,Advanced Energy Materials,https://doi.org/10.1002/aenm.202404538,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202404538,,download_failed,curl: (56) The requested URL returned error: 403,False,,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-025-62391-9,A supramolecular approach to improve the performance and operational stability of all-perovskite tandem solar cells,2025,Nature Communications,https://doi.org/10.1038/s41467-025-62391-9,https://www.nature.com/articles/s41467-025-62391-9.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-025-62391-9.pdf,downloaded_pdf,,False,,full_text_machine_reviewed,,10,55922,1;5;6;7,5,"segregation under illumination by tuning the coordination of halides toward monovalent cations and lead ions. As a result, the supramolecular engineered 1.77 eV perovskite solar cells achieve a champion power conversion efﬁciency of 21.01% with an outstanding operational stability, retaining 95% of initial efﬁ- ciency after 1000 h σof maximum-power-point tracking test. Meanwhile, the two-terminal all-perovskite tandem solar cells achieve the champion efﬁciency of 28.44% (certiﬁed 27.92%). This work paves an avenue to improve the ﬁlm quality and illumination stability of mixed halide wi || were crucial for the develop- ment of high-performance perovskite-based solar cells. To evaluate the effect of Crown on device performance, the inverted WBG PSCs with ITO/NiOx/Me-4PACZ/perovskite/PDAI/PCBM/ BCP/Ag structures were fabricated, as illustrated in Fig. 3a. The impact of Crown concentrations on device performance was systematically optimized as shown in Supplementary Fig. 12, revealing an optimal concentration of 0.5 mg/mL for Crown-modiﬁed WBG PSCs. The photovoltaic parameters for 50 individual control and optimal Crown- modiﬁed WBG PSCs were summarized in Fig. 3b, c, demonstrating signiﬁcant improvements in VOC and PCE for the Crown-modiﬁed 1.22 1.24 1.26 1.28 1.30 0 10 20 30 40 || ap-assisted recombination to be consistent with the prolongation of carrier life- times observed in TRPL spectra. The charged complex dynamics of the control and Crown-modiﬁed PSCs were investigated by electro- chemical impedance spectroscopy in Supplementary Fig. 17, and analytical results showed that the equivalent circuit ﬁtted recombi- nation resistance (Rrec) of the Crown-modiﬁed PSC was remarkably enhanced compared with the control device, suggesting that Crown effectively alleviated the non-radiative recombination in the per- ovskite and increased the VOC values of the devices. The stability was also a key parameter in evaluating the performance of the PSC. Under MPP tracking with con",odiﬁed PSCs. e EQE spectra and integrated Jsc of control and Crown-modiﬁed PSCs. f Steady-state PCE of control and Crown- modiﬁed PSCs. g Operational stability tests for control and Crown-modiﬁed PSCs measured under full solar illumination without a UV ﬁlter (light soaking under AM 1.5 G of 100 mW/cm2). Article https://doi.org/10.1038/s41467-025-62391-9 Nature Communications| (2025) 16:7173 5,True,True
