feature_set,n_nodes,topology,n_features,qe_primary,te_primary,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,kmeans_ARI,rule_shape_category_NMI,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction,min_curve_centroid_RMSE,max_curve_centroid_correlation,initial_gain_best_f1,initial_gain_best_precision,initial_gain_best_recall,initial_gain_best_count,early_drop_best_f1,early_drop_best_precision,early_drop_best_recall,early_drop_best_count,dip_recovery_best_f1,dip_recovery_best_precision,dip_recovery_best_recall,dip_recovery_best_count,qe_mean_across_seeds,qe_std_across_seeds,te_mean_across_seeds
descriptors_only,4,2x2,21,0.5041657363446871,0.0,1.0,1.0,0.4295310729260665,1.0078490720031956,637.984581561319,0.931059134690924,0.4280850485273524,0,66,0.04612159329140461,961,0.6715583508036338,0.044334173435946304,0.9963176018557324,0.5172413793103449,0.9090909090909091,0.3614457831325301,60,0.555984555984556,0.8780487804878049,0.4067796610169492,72,0.08333333333333334,0.0,0.0,0,0.5041657363446871,0.0,0.0
descriptors_only,5,1x5,21,0.469117471199675,0.005590496156533892,1.0,1.0,0.3521287340738232,1.073597699616889,597.5949188495129,0.6804720995583767,0.41819275490883945,0,33,0.023060796645702306,811,0.5667365478686234,0.03329349381822959,0.9998257281202396,0.5065502183406114,0.9206349206349206,0.3493975903614458,58,0.4516129032258065,0.8787878787878788,0.1638418079096045,29,0.1702127659574468,0.0,0.0,0,0.46911747107392854,1.2744874737730019e-09,0.07309573724668064
descriptors_only,6,2x3,21,0.4460574019479917,0.0006988120195667365,0.6482798649547807,0.40681739166221526,0.2882059867689457,1.17436612450805,529.4251210245236,0.7597128785047754,0.4559427279880623,0,34,0.023759608665269043,728,0.5087351502445842,0.028842326478562965,0.999369423883093,0.5065502183406114,0.9206349206349206,0.3493975903614458,58,0.45121951219512196,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.44531263349990596,0.005780789432903699,0.08637316561844863
descriptors_only,7,1x7,21,0.413259283321833,0.7924528301886793,0.6285026631168786,0.41627407356685225,0.24592429856465803,1.2014585611885589,485.5225700320768,0.660834112145304,0.4011943823109142,0,34,0.023759608665269043,427,0.2983927323549965,0.018440504925820316,0.9992597099765631,0.4933920704845815,0.9180327868852459,0.3373493975903614,56,0.46105919003115264,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.4179201662767375,0.006203707222295514,0.4183088749126485
descriptors_only,8,2x4,21,0.40078121605239725,0.09294199860237597,0.9048366648496369,0.8108740003284867,0.25857953500292613,1.2002190739410392,448.1567073745927,0.6348619303755269,0.43380332973416563,0,34,0.023759608665269043,396,0.27672955974842767,0.019526158979074365,0.9991394696185244,0.4799999999999999,1.0,0.26506024096385544,44,0.46394984326018807,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.3985287477890679,0.0013332428035276172,0.14772886093640808
descriptors_only,9,3x3,21,0.387209838523093,0.0726764500349406,0.8791352984967238,0.7091720674760715,0.2710516858671977,1.1667686117525666,453.45541965268814,0.6341741598603728,0.4498440586545407,0,14,0.009783368273934312,392,0.27393431167016075,0.01898897005787566,0.9993773460930995,0.4732142857142857,1.0,0.29518072289156627,49,0.5152542372881356,0.9814814814814815,0.2994350282485876,53,0.2857142857142857,0.0,0.0,0,0.386863333888858,0.0011862089942010264,0.08134171907756813
descriptors_only,10,2x5,21,0.37082495114851977,0.08245981830887492,0.8458558753228456,0.724630497907418,0.2798712059128607,1.1521070448368493,431.67343387415895,0.6686323805496438,0.4264262727090425,0,13,0.009084556254367574,371,0.25925925925925924,0.018759806152656856,0.9999048121634578,0.4890829694323144,0.9152542372881356,0.3253012048192771,54,0.42477876106194695,0.9795918367346939,0.2711864406779661,48,0.29629629629629634,0.0,0.0,0,0.3730623086384023,0.0025514608263233884,0.3909154437456324
