seed_a,seed_b,ARI,NMI
7,21,1.0,1.0
7,42,1.0,1.0
7,84,1.0,1.0000000000000002
7,168,1.0,1.0
21,42,1.0,1.0
21,84,1.0,1.0000000000000002
21,168,1.0,1.0
42,84,1.0,1.0000000000000002
42,168,1.0,1.0
84,168,1.0,1.0
