curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter,cluster,bmu_distance,assignment_margin
C2ebd39b7bd,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2018.02.030/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2018.02.030__Fig6__A__stability_performance_curve_pce__ZnO_Device__Series_2.csv,x_time_day/10.1016_j.jpowsour.2018.02.030/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2018.02.030__Fig6__A__stability_performance_curve_pce__ZnO_Device__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2018.02.030/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2018.02.030,10.1016_j.jpowsour.2018.02.030__Fig6__A__stability_performance_curve_pce,ZnO Device,24.0,63,713.0025717049994,True,27,0.0383334715970431,7,7,1,0.14669535166530656,0.8512916739966466
C80030564e7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce__MAPbI+TMA__Series_1.csv,x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce__MAPbI+TMA__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2019.04.024,10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce,MAPbI+TMA,24.0,60,449.061670225373,True,40,0.0253707158319421,10,10,3,0.12580029650531344,0.8458235821709575
C02c8c50f23,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce__MAPbl3__Series_2.csv,x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce__MAPbl3__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.04.024/Fig8_A_xrd_pattern_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2019.04.024,10.1016_j.jpowsour.2019.04.024__Fig8__A__xrd_pattern_stability_performance_curve_pce,MAPbl3,24.0,60,449.061670225373,True,40,0.0253707158319422,10,10,2,0.2551281917412957,0.7828147836490534
C59ab1b1e4c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.226914/Fig6_E_jv_curve_stability_performance_pce/accepted/10.1016_j.jpowsour.2019.226914__Fig6__E__jv_curve_stability_performance_pce__w_o_PbBr2__Series_1.csv,x_time_day/10.1016_j.jpowsour.2019.226914/Fig6_E_jv_curve_stability_performance_pce/accepted/10.1016_j.jpowsour.2019.226914__Fig6__E__jv_curve_stability_performance_pce__w_o_PbBr2__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2019.226914/Fig6_E_jv_curve_stability_performance_pce/validation_result.json,10.1016/j.jpowsour.2019.226914,10.1016_j.jpowsour.2019.226914__Fig6__E__jv_curve_stability_performance_pce,w/o PbBr2,24.0,55,1476.980711651605,True,11,0.0911716488673832,3,2,1,0.13428359737698736,0.863770250955774
C5ee18ba5ea,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.227913/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.227913__Fig5__B__stability_performance_curve_pce__Pristine__Series_2.csv,x_time_day/10.1016_j.jpowsour.2020.227913/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.227913__Fig5__B__stability_performance_curve_pce__Pristine__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.227913/Fig5_B_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2020.227913,10.1016_j.jpowsour.2020.227913__Fig5__B__stability_performance_curve_pce,Pristine,24.0,64,705.6631498328999,True,27,0.0373366745943335,7,6,1,0.2996672937174802,0.48122318448304513
C9040568a62,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228556/Fig7_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228556__Fig7__A__stability_performance_curve_pce__PSCwith_t-BP__Series_2.csv,x_time_day/10.1016_j.jpowsour.2020.228556/Fig7_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228556__Fig7__A__stability_performance_curve_pce__PSCwith_t-BP__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228556/Fig7_A_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2020.228556,10.1016_j.jpowsour.2020.228556__Fig7__A__stability_performance_curve_pce,PSCwith t-BP,24.0,70,379.6691948673482,True,55,0.0183415069984228,14,14,2,0.5689250888170944,0.5303974604039333
C1c508c5dd3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228648/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228648__Fig6__D__stability_performance_curve_pce__SnO2-HCI__Series_2.csv,x_time_day/10.1016_j.jpowsour.2020.228648/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228648__Fig6__D__stability_performance_curve_pce__SnO2-HCI__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228648/Fig6_D_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2020.228648,10.1016_j.jpowsour.2020.228648__Fig6__D__stability_performance_curve_pce,SnO2-HCI,24.0,74,2128.9099121233994,True,11,0.097210498270475,3,3,1,0.18929987778411328,0.8185062529353136
Ca8486a3d7f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228738/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228738__Fig6__A__stability_performance_curve_pce__NiO__Series_1.csv,x_time_day/10.1016_j.jpowsour.2020.228738/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2020.228738__Fig6__A__stability_performance_curve_pce__NiO__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228738/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1016/j.jpowsour.2020.228738,10.1016_j.jpowsour.2020.228738__Fig6__A__stability_performance_curve_pce,NiO,24.0,75,1403.8794421685398,True,16,0.0632378127102947,4,4,1,0.22289288391756765,0.6530138481317018
C080c298f03,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228764/Fig6_D_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228764__Fig6__D__stability_performance_curve__AgNWs__Series_2.csv,x_time_day/10.1016_j.jpowsour.2020.228764/Fig6_D_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228764__Fig6__D__stability_performance_curve__AgNWs__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228764/Fig6_D_stability_performance_curve/validation_result.json,10.1016/j.jpowsour.2020.228764,10.1016_j.jpowsour.2020.228764__Fig6__D__stability_performance_curve,AgNWs,24.0,68,1443.4361061411244,True,14,0.071812741599061,4,3,1,0.34472843467761655,0.33060582801337685
C1099fe01eb,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228857/Fig4_F_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228857__Fig4__F__stability_performance_curve__Pristine__Series_1.csv,x_time_day/10.1016_j.jpowsour.2020.228857/Fig4_F_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228857__Fig4__F__stability_performance_curve__Pristine__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228857/Fig4_F_stability_performance_curve/validation_result.json,10.1016/j.jpowsour.2020.228857,10.1016_j.jpowsour.2020.228857__Fig4__F__stability_performance_curve,Pristine,24.0,47,753.6449135500412,True,19,0.0546119502572496,5,5,1,0.16409751076698093,0.7662747334096485
