window_hours,n,coverage,eligible
50,10,0.0641025641025641,False
100,21,0.1346153846153846,False
200,50,0.32051282051282054,True
300,79,0.5064102564102564,True
500,84,0.5384615384615384,True
750,83,0.532051282051282,True
1000,51,0.3269230769230769,True
1500,22,0.14102564102564102,False
2000,13,0.08333333333333333,False
