config_id,mean_bic,bic_percentile,cp_f1,mean_segments,id,algorithm,cost,min_fraction,penalty,cp_score
CP216,-202.79886410078498,0.743513431013431,0.9615384615384616,1.205128205128205,CP216,window,linear,0.08,10.0,0.39749694749694753
CP223,-202.79886410078498,0.743513431013431,0.9615384615384616,1.205128205128205,CP223,window,linear,0.1,10.0,0.39749694749694753
CP173,-197.67294973852887,0.7351317663817664,0.9006410256410257,1.2692307692307692,CP173,window,l2,0.03,8.0,0.3920227920227921
CP180,-197.67294973852887,0.7351317663817664,0.9006410256410257,1.2692307692307692,CP180,window,l2,0.05,8.0,0.3920227920227921
CP187,-197.67294973852887,0.7351317663817664,0.9006410256410257,1.2692307692307692,CP187,window,l2,0.08,8.0,0.3920227920227921
CP194,-197.67294973852887,0.7351317663817664,0.9006410256410257,1.2692307692307692,CP194,window,l2,0.1,8.0,0.3920227920227921
CP228,-186.92996948363276,0.7500635938135938,0.9102564102564102,1.25,CP228,window,rbf,0.03,5.0,0.38200040700040705
CP235,-186.92996948363276,0.7500635938135938,0.9102564102564102,1.25,CP235,window,rbf,0.05,5.0,0.38200040700040705
CP242,-186.92996948363276,0.7500635938135938,0.9102564102564102,1.25,CP242,window,rbf,0.08,5.0,0.38200040700040705
CP249,-186.92996948363276,0.7500635938135938,0.9102564102564102,1.25,CP249,window,rbf,0.1,5.0,0.38200040700040705
CP006,-194.9581821822897,0.7700193325193325,0.9294871794871795,1.2115384615384615,CP006,pelt,l2,0.03,10.0,0.36988196988196986
CP013,-194.9581821822897,0.7700193325193325,0.9294871794871795,1.2115384615384615,CP013,pelt,l2,0.05,10.0,0.36988196988196986
CP090,-194.9581821822897,0.7700193325193325,0.9294871794871795,1.2115384615384615,CP090,binseg,l2,0.03,10.0,0.36988196988196986
CP097,-194.9581821822897,0.7700193325193325,0.9294871794871795,1.2115384615384615,CP097,binseg,l2,0.05,10.0,0.36988196988196986
CP027,-193.34177346885264,0.7746235246235246,0.9391025641025641,1.1987179487179487,CP027,pelt,l2,0.1,10.0,0.3681216931216932
CP111,-193.34177346885264,0.7746235246235246,0.9391025641025641,1.1987179487179487,CP111,binseg,l2,0.1,10.0,0.3681216931216932
CP020,-193.22113701767017,0.7764041514041514,0.9423076923076923,1.1987179487179487,CP020,pelt,l2,0.08,10.0,0.36733821733821737
CP104,-193.22113701767017,0.7764041514041514,0.9423076923076923,1.1987179487179487,CP104,binseg,l2,0.08,10.0,0.36733821733821737
CP174,-187.73701639244018,0.7866936304436305,0.9423076923076923,1.1153846153846154,CP174,window,l2,0.03,10.0,0.35910663410663407
CP181,-187.73701639244018,0.7866936304436305,0.9423076923076923,1.1153846153846154,CP181,window,l2,0.05,10.0,0.35910663410663407
CP188,-187.73701639244018,0.7866936304436305,0.9423076923076923,1.1153846153846154,CP188,window,l2,0.08,10.0,0.35910663410663407
CP195,-187.73701639244018,0.7866936304436305,0.9423076923076923,1.1153846153846154,CP195,window,l2,0.1,10.0,0.35910663410663407
CP061,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP061,pelt,rbf,0.03,8.0,0.35353072853072853
CP068,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP068,pelt,rbf,0.05,8.0,0.35353072853072853
CP075,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP075,pelt,rbf,0.08,8.0,0.35353072853072853
CP082,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP082,pelt,rbf,0.1,8.0,0.35353072853072853
CP145,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP145,binseg,rbf,0.03,8.0,0.35353072853072853
CP152,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP152,binseg,rbf,0.05,8.0,0.35353072853072853
CP159,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP159,binseg,rbf,0.08,8.0,0.35353072853072853
CP166,-183.56879330329357,0.803278897028897,0.9807692307692307,1.0769230769230769,CP166,binseg,rbf,0.1,8.0,0.35353072853072853
CP229,-182.24077895520657,0.8064840252340252,0.9839743589743589,1.0576923076923077,CP229,window,rbf,0.03,8.0,0.3516076516076516
CP236,-182.24077895520657,0.8064840252340252,0.9839743589743589,1.0576923076923077,CP236,window,rbf,0.05,8.0,0.3516076516076516
CP243,-182.24077895520657,0.8064840252340252,0.9839743589743589,1.0576923076923077,CP243,window,rbf,0.08,8.0,0.3516076516076516
CP250,-182.24077895520657,0.8064840252340252,0.9839743589743589,1.0576923076923077,CP250,window,rbf,0.1,8.0,0.3516076516076516
CP230,-180.39095326328783,0.8190628815628815,0.9871794871794872,1.0128205128205128,CP230,window,rbf,0.03,10.0,0.3421855921855922
CP237,-180.39095326328783,0.8190628815628815,0.9871794871794872,1.0128205128205128,CP237,window,rbf,0.05,10.0,0.3421855921855922
CP244,-180.39095326328783,0.8190628815628815,0.9871794871794872,1.0128205128205128,CP244,window,rbf,0.08,10.0,0.3421855921855922
CP251,-180.39095326328783,0.8190628815628815,0.9871794871794872,1.0128205128205128,CP251,window,rbf,0.1,10.0,0.3421855921855922
CP062,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP062,pelt,rbf,0.03,10.0,0.3417175417175417
CP069,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP069,pelt,rbf,0.05,10.0,0.3417175417175417
CP076,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP076,pelt,rbf,0.08,10.0,0.3417175417175417
CP083,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP083,pelt,rbf,0.1,10.0,0.3417175417175417
CP146,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP146,binseg,rbf,0.03,10.0,0.3417175417175417
CP153,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP153,binseg,rbf,0.05,10.0,0.3417175417175417
CP160,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP160,binseg,rbf,0.08,10.0,0.3417175417175417
CP167,-180.68775800325062,0.8180453805453806,0.9807692307692307,1.0192307692307692,CP167,binseg,rbf,0.1,10.0,0.3417175417175417
