n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__052,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__053,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__054,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__055,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__056,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__057,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__058,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__059,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__060,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__061,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__062,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__063,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__064,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__065,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__066,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__067,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__068,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__069,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__070,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__071,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__072,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__073,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__074,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__075,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__076,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__077,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__078,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__079,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__000,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__001,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__002,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__003,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__004,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__005,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__006,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__007,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__008,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__009,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__010,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__011,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__012,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__013,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__014,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__015,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__016,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__017,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__018,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__019,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__020,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__021,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__022,,,0.0
