raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,66,0.9995459840625044,0.9077788009539918,0.26350552568278185,-0.09176718310851262,-0.7360404583797225,-0.002036058749825121,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.264, slope_0_10h=-0.00918/h, slope_100_200h=-0.00204/h, Δ200h=-0.736, n=66"
1,142,0.9981485187335133,0.957058032389594,0.4891747449278295,-0.04109048634391932,-0.5089737738056839,-0.002068736864772318,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.489, slope_0_10h=-0.00411/h, slope_100_200h=-0.00207/h, Δ200h=-0.509, n=142"
2,888,0.9881624505226778,0.988673193220502,0.9512058979077732,0.0005107426978241403,-0.0369565526149046,-0.00024731085562111296,no_initial_change_stable_decelerating_loss,"PCE@200h=0.951, slope_0_10h=0.00005/h, slope_100_200h=-0.00025/h, Δ200h=-0.037, n=888"
3,445,0.9928706491406473,0.9862813587122076,0.8357027588579379,-0.006589290428439698,-0.1571678902827094,-0.0007754627133643466,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.836, slope_0_10h=-0.00066/h, slope_100_200h=-0.00078/h, Δ200h=-0.157, n=445"
4,271,0.9966946215855585,0.9758535317470302,0.7026593280276163,-0.020841089838528393,-0.2940352935579422,-0.0012244047091910354,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.703, slope_0_10h=-0.00208/h, slope_100_200h=-0.00122/h, Δ200h=-0.294, n=271"
