curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter
C7c4c01a38e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2021.229909/Fig7_B_stability_performance_curve/accepted/10.1016_j.jpowsour.2021.229909__Fig7__B__stability_performance_curve__ZnO__Series_1.csv,x_time_day/10.1016_j.jpowsour.2021.229909/Fig7_B_stability_performance_curve/accepted/10.1016_j.jpowsour.2021.229909__Fig7__B__stability_performance_curve__ZnO__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2021.229909/Fig7_B_stability_performance_curve/validation_result.json,10.1016/j.jpowsour.2021.229909,10.1016_j.jpowsour.2021.229909__Fig7__B__stability_performance_curve,ZnO,24.0,83,429.51772980785734,True,29,0.03492014063478545,8,7
C18a6ba0ef1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2022.231243/Fig6_B_jv_curve_stability_performance_pce/accepted/10.1016_j.jpowsour.2022.231243__Fig6__B__jv_curve_stability_performance_pce__W_O_M-P_chloride__Series_2.csv,x_time_day/10.1016_j.jpowsour.2022.231243/Fig6_B_jv_curve_stability_performance_pce/accepted/10.1016_j.jpowsour.2022.231243__Fig6__B__jv_curve_stability_performance_pce__W_O_M-P_chloride__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jpowsour.2022.231243/Fig6_B_jv_curve_stability_performance_pce/validation_result.json,10.1016/j.jpowsour.2022.231243,10.1016_j.jpowsour.2022.231243__Fig6__B__jv_curve_stability_performance_pce,W/O M-P chloride,24.0,56,189.39422333516956,True,44,0.022956875555778234,11,11
Ce12f27e9f6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2018.10.034/Fig12_whole_stability/accepted/10.1016_j.mssp.2018.10.034__Fig12__whole__stability__ZnO-TiO2nanorods__Series_1.csv,x_time_day/10.1016_j.mssp.2018.10.034/Fig12_whole_stability/accepted/10.1016_j.mssp.2018.10.034__Fig12__whole__stability__ZnO-TiO2nanorods__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2018.10.034/Fig12_whole_stability/validation_result.json,10.1016/j.mssp.2018.10.034,10.1016_j.mssp.2018.10.034__Fig12__whole__stability,ZnO-TiO2nanorods,24.0,72,167.27608813843167,True,64,0.01570667494257587,16,16
C9871d10f57,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2021.105847/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.mssp.2021.105847__Fig6__C__stability_performance_curve_pce__。—W_O_QDs__Series_1.csv,x_time_day/10.1016_j.mssp.2021.105847/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.mssp.2021.105847__Fig6__C__stability_performance_curve_pce__。—W_O_QDs__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2021.105847/Fig6_C_stability_performance_curve_pce/validation_result.json,10.1016/j.mssp.2021.105847,10.1016_j.mssp.2021.105847__Fig6__C__stability_performance_curve_pce,。—W/O QDs,24.0,66,332.11739121264725,True,30,0.03406332217565629,8,7
C0abd7d2cbf,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2015.11.024/Fig8_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2015.11.024__Fig8__B__stability_performance_curve_pce__Device_with_S0__Series_1.csv,x_time_day/10.1016_j.nanoen.2015.11.024/Fig8_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2015.11.024__Fig8__B__stability_performance_curve_pce__Device_with_S0__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2015.11.024/Fig8_B_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2015.11.024,10.1016_j.nanoen.2015.11.024__Fig8__B__stability_performance_curve_pce,Device with S0,24.0,59,335.24459286776346,True,26,0.03853386124916852,7,6
C236378cbda,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2016.08.055/Fig9_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2016.08.055__Fig9__A__stability_performance_curve_pce__Pristine__Series_1.csv,x_time_day/10.1016_j.nanoen.2016.08.055/Fig9_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2016.08.055__Fig9__A__stability_performance_curve_pce__Pristine__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2016.08.055/Fig9_A_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2016.08.055,10.1016_j.nanoen.2016.08.055__Fig9__A__stability_performance_curve_pce,Pristine,24.0,48,189.1555510082967,True,38,0.026830574611106026,10,10
C0a1687c583,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2017.06.023/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.orgel.2017.06.023__Fig5__B__stability_performance_curve_pce__conventional_device__Series_2.csv,x_time_day/10.1016_j.orgel.2017.06.023/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.orgel.2017.06.023__Fig5__B__stability_performance_curve_pce__conventional_device__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2017.06.023/Fig5_B_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2017.06.023,10.1016_j.orgel.2017.06.023__Fig5__B__stability_performance_curve_pce,conventional device,24.0,65,335.27249245613916,True,29,0.034924217964181326,8,7
Cda3e3d73d4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2017.10.034/Fig10_whole_stability_performance_curve_pce/accepted/10.1016_j.orgel.2017.10.034__Fig10__whole__stability_performance_curve_pce__Ref__Series_1.csv,x_time_day/10.1016_j.orgel.2017.10.034/Fig10_whole_stability_performance_curve_pce/accepted/10.1016_j.orgel.2017.10.034__Fig10__whole__stability_performance_curve_pce__Ref__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2017.10.034/Fig10_whole_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2017.10.034,10.1016_j.orgel.2017.10.034__Fig10__whole__stability_performance_curve_pce,Ref,24.0,110,407.9996307777925,True,41,0.024954105857969276,11,10
Ccc077a570e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce__ITIC-Th__Series_2.csv,x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce__ITIC-Th__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2018.07.029,10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce,ITIC-Th,24.0,113,357.8359404249202,True,47,0.021299758358626377,12,11
C7c59e57360,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce__PCBM__Series_1.csv,x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce__PCBM__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.07.029/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2018.07.029,10.1016_j.orgel.2018.07.029__Fig6__A__stability_performance_curve_pce,PCBM,24.0,113,357.8359404249202,True,47,0.021299758358626377,12,11
