curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter
Ccdf10410b9,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/accepted/10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce__PCE_(30_%_UCNPs)__Series_1.csv,x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/accepted/10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce__PCE_(30_%_UCNPs)__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/validation_result.json,10.3390/ijms232214441,10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce,PCE (30 % UCNPs),24.0,103,215.3391841995907,True,95,0.01055584236272523,24,23
C1482502fe0,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/accepted/10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce__PCE_(pristine)__Series_2.csv,x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/accepted/10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce__PCE_(pristine)__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/validation_result.json,10.3390/ijms232214441,10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce,PCE (pristine),24.0,103,215.3391841995907,True,95,0.01055584236272523,24,23
Ce390880c96,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules28134976/Fig5_whole_stability/accepted/10.3390_molecules28134976__Fig5__whole__stability__0—0THI__Series_1.csv,x_time_day/10.3390_molecules28134976/Fig5_whole_stability/accepted/10.3390_molecules28134976__Fig5__whole__stability__0—0THI__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules28134976/Fig5_whole_stability/validation_result.json,10.3390/molecules28134976,10.3390_molecules28134976__Fig5__whole__stability,0—0THI,24.0,89,709.0972079026069,True,25,0.04028961408537555,7,6
Cf153ccb01f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/accepted/10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce__PSC_device_30%_UCNPs__Series_1.csv,x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/accepted/10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce__PSC_device_30%_UCNPs__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/validation_result.json,10.3390/molecules29112556,10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce,PSC device 30% UCNPs,24.0,122,337.19483728689283,True,72,0.013933670962268465,18,18
C31204b8589,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/accepted/10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce__Pristine_device__Series_3.csv,x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/accepted/10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce__Pristine_device__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/validation_result.json,10.3390/molecules29112556,10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce,Pristine device,24.0,122,337.19483728689295,True,72,0.013933670962268394,18,18
C099da78d6f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29215064/Fig5_B_stability_performance_curve_pce/accepted/10.3390_molecules29215064__Fig5__B__stability_performance_curve_pce__PEDOT_PSS__Series_1.csv,x_time_day/10.3390_molecules29215064/Fig5_B_stability_performance_curve_pce/accepted/10.3390_molecules29215064__Fig5__B__stability_performance_curve_pce__PEDOT_PSS__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_molecules29215064/Fig5_B_stability_performance_curve_pce/validation_result.json,10.3390/molecules29215064,10.3390_molecules29215064__Fig5__B__stability_performance_curve_pce,PEDOT:PSS,24.0,52,310.0912271428206,True,33,0.030401100700276656,9,8
Ca7eba08280,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adem.202000990/Fig5_C_jv_curve_stability_performance_pce/accepted/10.1002_adem.202000990__Fig5__C__jv_curve_stability_performance_pce__Pero@Pbl₂-300°C__Series_1.csv,x_time_h/10.1002_adem.202000990/Fig5_C_jv_curve_stability_performance_pce/accepted/10.1002_adem.202000990__Fig5__C__jv_curve_stability_performance_pce__Pero@Pbl₂-300°C__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adem.202000990/Fig5_C_jv_curve_stability_performance_pce/validation_result.json,10.1002/adem.202000990,10.1002_adem.202000990__Fig5__C__jv_curve_stability_performance_pce,Pero@Pbl₂-300°C,1.0,61,380.42796299617834,True,32,0.03170233024968169,8,8
C7086af4031,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201702090/Fig4_B_mppt_stability_performance_curve/accepted/10.1002_adfm.201702090__Fig4__B__mppt_stability_performance_curve__Mesoporous_Ts_TiO2__Series_2.csv,x_time_h/10.1002_adfm.201702090/Fig4_B_mppt_stability_performance_curve/accepted/10.1002_adfm.201702090__Fig4__B__mppt_stability_performance_curve__Mesoporous_Ts_TiO2__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201702090/Fig4_B_mppt_stability_performance_curve/validation_result.json,10.1002/adfm.201702090,10.1002_adfm.201702090__Fig4__B__mppt_stability_performance_curve,Mesoporous Ts TiO2,1.0,82,488.4675340985545,True,34,0.03015231691966406,9,9
C0498ff7b7c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/accepted/10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__withPTT__Series_2.csv,x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/accepted/10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__withPTT__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201705363,10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce,withPTT,1.0,53,402.06425579874855,True,26,0.03866002459603379,7,6
C983b68e557,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/accepted/10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__without_PTT__Series_1.csv,x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/accepted/10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__without_PTT__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201705363,10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce,without PTT,1.0,53,402.06425579874843,True,26,0.038660024596033654,7,6
