curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter
Cb6abab2896,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__B__stability_performance_curve_pce__→Spiro-OMeTAD__Series_1.csv,x_time_h/10.1016_j.nanoen.2020.105462/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__B__stability_performance_curve_pce__→Spiro-OMeTAD__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_B_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2020.105462,10.1016_j.nanoen.2020.105462__Fig5__B__stability_performance_curve_pce,→Spiro-OMeTAD,1.0,43,165.3769031672219,True,39,0.02625030209003531,10,10
Cbf1dda201b,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce__SMe-TATPyr_Spiro-OMeTAD__Series_1.csv,x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce__SMe-TATPyr_Spiro-OMeTAD__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2020.105462,10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce,SMe-TATPyr/Spiro-OMeTAD,1.0,43,165.47360830860774,True,39,0.026265652112477653,10,10
Cd50b2d93b4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105462/Fig5_C_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2020.105462,10.1016_j.nanoen.2020.105462__Fig5__C__stability_performance_curve_pce,Spiro-OMeTAD,1.0,43,165.47360830860774,True,39,0.026265652112477653,10,10
C68cc871085,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105564/Fig6_A_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105564__Fig6__A__stability_performance_curve__Control__Series_1.csv,x_time_h/10.1016_j.nanoen.2020.105564/Fig6_A_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105564__Fig6__A__stability_performance_curve__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105564/Fig6_A_stability_performance_curve/validation_result.json,10.1016/j.nanoen.2020.105564,10.1016_j.nanoen.2020.105564__Fig6__A__stability_performance_curve,Control,1.0,50,479.3113575364123,True,16,0.06521242959679095,4,4
Cf14a19f338,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105564/Fig6_B_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105564__Fig6__B__stability_performance_curve__Control__Series_1.csv,x_time_h/10.1016_j.nanoen.2020.105564/Fig6_B_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105564__Fig6__B__stability_performance_curve__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105564/Fig6_B_stability_performance_curve/validation_result.json,10.1016/j.nanoen.2020.105564,10.1016_j.nanoen.2020.105564__Fig6__B__stability_performance_curve,Control,1.0,52,498.5976439857875,True,16,0.06517616261252139,4,4
C85f7a9a768,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105737/Fig4_G_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105737__Fig4__G__stability_performance_curve__w_o_PPFC__Series_1.csv,x_time_h/10.1016_j.nanoen.2020.105737/Fig4_G_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105737__Fig4__G__stability_performance_curve__w_o_PPFC__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105737/Fig4_G_stability_performance_curve/validation_result.json,10.1016/j.nanoen.2020.105737,10.1016_j.nanoen.2020.105737__Fig4__G__stability_performance_curve,w/o PPFC,1.0,56,930.7080989447941,True,9,0.28203275725599813,3,3
Cf50baf46a2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105742/Fig5_C_stability/accepted/10.1016_j.nanoen.2021.105742__Fig5__C__stability__CsFAMA__Series_1.csv,x_time_h/10.1016_j.nanoen.2021.105742/Fig5_C_stability/accepted/10.1016_j.nanoen.2021.105742__Fig5__C__stability__CsFAMA__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105742/Fig5_C_stability/validation_result.json,10.1016/j.nanoen.2021.105742,10.1016_j.nanoen.2021.105742__Fig5__C__stability,CsFAMA,1.0,61,1199.4069622882262,True,8,0.13326744025424772,2,2
C76078a9ddb,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105742/Fig5_D_stability_performance_curve_pce_spectrum/accepted/10.1016_j.nanoen.2021.105742__Fig5__D__stability_performance_curve_pce_spectrum__CsFAMA__Series_1.csv,x_time_h/10.1016_j.nanoen.2021.105742/Fig5_D_stability_performance_curve_pce_spectrum/accepted/10.1016_j.nanoen.2021.105742__Fig5__D__stability_performance_curve_pce_spectrum__CsFAMA__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105742/Fig5_D_stability_performance_curve_pce_spectrum/validation_result.json,10.1016/j.nanoen.2021.105742,10.1016_j.nanoen.2021.105742__Fig5__D__stability_performance_curve_pce_spectrum,CsFAMA,1.0,64,854.1258582740409,True,12,0.09038368870624794,3,3
C986c7f52b7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105751/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2021.105751__Fig4__A__stability_performance_curve_pce__Li-TFSI_t-BP__Series_2.csv,x_time_h/10.1016_j.nanoen.2021.105751/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2021.105751__Fig4__A__stability_performance_curve_pce__Li-TFSI_t-BP__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105751/Fig4_A_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2021.105751,10.1016_j.nanoen.2021.105751__Fig4__A__stability_performance_curve_pce,Li-TFSI/t-BP,1.0,66,1174.4295790429444,True,9,0.12045431579927651,3,2
C7de3d33d0b,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.106286/Fig1_F_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2021.106286__Fig1__F__stability_performance_curve_pce__Control__Series_2.csv,x_time_h/10.1016_j.nanoen.2021.106286/Fig1_F_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2021.106286__Fig1__F__stability_performance_curve_pce__Control__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.106286/Fig1_F_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2021.106286,10.1016_j.nanoen.2021.106286__Fig1__F__stability_performance_curve_pce,Control,1.0,50,995.242481225434,True,8,0.13540714030278045,2,2
