sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points
图片163,图片163_24913bd0bd,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,300,False,axis_or_csv:power_proxy,,,38
图片163,图片163_e939cd5d22,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,300,False,axis_or_csv:power_proxy,,,91
图片165,图片165_fa256fe997,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片165/accepted/samples_test__unknown__unknown__图片165__Series_1__Series_1.csv,300,False,axis_or_csv:missing,,,32
图片166,图片166_a38b322844,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片166/accepted/samples_test__unknown__unknown__图片166__Series_1__Series_1.csv,300,False,axis_or_csv:missing,,,32
图片168,图片168_b6719a1c0d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片168/accepted/samples_test__unknown__unknown__图片168__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,31
图片17,图片17_3b1272ccf0,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,300,False,axis_or_csv:power_proxy,,,50
图片17,图片17_4f0b6fcd0c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,300,False,axis_or_csv:power_proxy,,,51
图片171,图片171_893ef078f6,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,25
图片171,图片171_de42481427,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,101
图片172,图片172_753d12fa9b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_1__Series_1.csv,300,False,shorter_than_window,160.90196423120835,,42
